,prompt,response_1,tiempo_1,ram_mb_1,gpu_mb_1
0,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","system
What is the perimeter of a rectangle that has a length of 10 cm and a width of 5 cm?",0.7582058906555176,2102.04,3274.0
1,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
At the family picnic, there were 4 sandwiches and 6 juice boxes. If this ratio is maintained, how many juice boxes would be needed if there were 12 sandwiches?",1.0969915390014648,2102.23,3274.0
2,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
Which group has more pets: Group A with 15 dogs and 20 cats, or Group B with 10 dogs and 30 cats?",0.9945418834686279,2102.35,3274.0
3,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","system
What is the greatest common divisor (GCD) of 24 and 18?",0.6362242698669434,2102.38,3274.0
4,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","system
A school cafeteria has 36 apples to be divided equally among 4 tables. How many apples will each table get?",0.7694151401519775,2102.41,3274.0
5,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","system
What is the greatest common factor of 24 and 36?",0.4988090991973877,2102.44,3274.0
6,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","system
How many different ways can you make groups with exactly 4 toys each from a total of 28 toys at the beach?",0.7583727836608887,2102.46,3274.0
7,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
What is the name of the flat surface on a bus that passengers sit on?",0.5138599872589111,2102.48,3274.0
8,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
At the beach, Sarah found 23 seashells and lost 17 during her walk. How many seashells does she have left?",0.8798067569732666,2102.52,3274.0
9,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","system
How many flowers did you pick from the garden today?",0.387864351272583,2102.53,3274.0
10,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","system
What is 3 times the number of cupcakes given to each child if there were 5 children at the party?",0.6952438354492188,2102.54,3274.0
11,"Make a single easy addition question with three addends for a primary school student in the context of a toy store, using numbers up to 20. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","system
What is the total cost if you buy 5 toy cars priced at $3 each and 4 toy dolls priced at $2 each?",0.8192641735076904,2102.56,3274.0
12,"Create one slightly challenging question about the greatest common factor for an upper elementary student in the context of a music class, using numbers below 30. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","system
What is the greatest common factor of 18 and 24 that you can use to divide both numbers equally among three groups?",0.7853610515594482,2102.57,3274.0
13,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
At the animal shelter, there are 4 puppies and 3 kittens available for adoption. If each puppy is adopted at $50 and each kitten is adopted at $25, how much money will be raised if all pets are adopted?",1.3559563159942627,2102.57,3274.0
14,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","system
What two types of fruits can you find at most varieties in a typical fruit shop?",0.541689395904541,2102.57,3274.0
15,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","user
What is the total number of shells you collected if you found 23 starfish and then lost 17 shells while packing them?",0.8143749237060547,2102.57,3274.0
16,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","system
What is 3:00 PM on a written clock?",0.43128538131713867,2102.58,3274.0
17,"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
At the beach, there were 15 seashells on the first day. On the second day, someone found 7 more seashells. How many seashells are there now?",1.133775234222412,2102.59,3274.0
18,"Create one basic question about an equivalent ratio for an upper elementary student in the context of a sports day, using two types of objects. Use whole numbers only. Return one question only, written as plain text.","system
What is the equivalent ratio if there are 3 gold medals and 6 silver medals at the sports day?",0.6672892570495605,2102.59,3274.0
19,"Generate a single slightly challenging short multiplication fact problem for a student learning basic mathematics in the context of a farm, using four equal groups. Avoid unnecessary details. Return one question only, written as plain text.","system
A farmer has 4 equally sized fields. If each field produces 5 apples, how many apples does the farmer have in total?",0.7852954864501953,2102.59,3274.0
20,"Create a single moderate question about the least common multiple for a young learner ready for a challenge in the context of a beach visit, with an LCM below 60. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
What is the least common multiple (LCM) of 12 and 18 that you can find while planning your next beach trip?",0.844125509262085,2102.66,3274.0
21,"Write a single easy question comparing two quantities for an elementary student in the context of a science fair, with equal values as one possible result. Keep the question concise. Give only the question as plain text. Do not include the solution.","user
How many seeds does a pumpkin typically have compared to how many seeds does a sunflower typically have?",0.6120996475219727,2102.67,3274.0
22,"Write a single slightly challenging question about equal groups for a student learning basic mathematics in the context of a school cafeteria, using facts from 2 to 5. Make the situation realistic. Use plain text only and provide no solution or explanation.","system
How many different ways can you serve 30 lunches equally among 6 students at the school cafeteria?",0.6313478946685791,2102.68,3274.0
23,"Prepare a single basic question about sides and vertices for a young math learner in the context of a garden, using triangles and quadrilaterals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","system
What is the difference between a triangle and a quadrilateral?",0.4088566303253174,2102.69,3274.0
24,"Generate a single simple greater-than or less-than question for a primary school student in the context of a fruit shop, using numbers up to 20. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","system
Which is more: 15 apples or 18 oranges?",0.4656827449798584,2102.71,3274.0
25,"Make one basic question about choosing the correct time for an elementary student in the context of a sports day, using half hours. Use whole numbers only. Use plain text only and provide no solution or explanation.","system
When should the elementary students be divided into groups for the relay race?",0.45741701126098633,2102.71,3274.0
26,"Create a single moderate question about taking away for an elementary student in the context of a birthday party, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","system
At the birthday party, there were 30 cupcakes on the table. If each child gets 6 cupcakes, how many children can be served?",0.858372688293457,2102.71,3274.0
27,"Generate one slightly challenging challenging multi-step math word problem for a primary school student learning advanced topics in the context of a school cafeteria, without requiring a drawing. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","system
At the school cafeteria, there were 24 apples on the display table. After lunchtime, 15 more apples were added to the display. How many apples were there altogether if each apple costs $0.50?",1.2984600067138672,2102.71,3274.0
28,"Prepare one easy mixed-operation problem with addition and subtraction for an upper elementary student in the context of a community park, with no negative answer. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","system
A local community park has 15 benches. If 7 more benches were added to the park, how many benches would there be in total? Then, if 3 benches were removed from the park, how many benches would remain?",1.3569409847259521,2102.76,3274.0
29,"Make one moderate logic-based elementary math question for a young learner ready for a challenge in the context of a sports day, combining time and addition. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","system
What is 30 minutes after 2:45 PM?",0.4630722999572754,2102.77,3274.0
30,"Create a single moderate short multiplication fact problem for a primary school student in the context of a farm, using four equal groups. Make the situation realistic. Output only the question in text form, without hints or an answer.","system
There are 5 rows of corn stalks on the farm. Each row has 8 corn stalks. How many corn stalks are there in total?",0.9184865951538086,2102.78,3274.0
31,"Write a single simple subtraction question with a missing number for an upper elementary student in the context of a school cafeteria, with simple borrowing. Keep the question concise. Output only the question in text form, without hints or an answer.","system
What is 34 - ___ = 21?",0.40799903869628906,2102.78,3274.0
32,"Create one slightly challenging question about the greatest common divisor for a young learner ready for a challenge in the context of a birthday party, using numbers below 50. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
If Tommy and Lily both have 12 candies each, how many candies will they have left if they combine them and then share them equally among themselves?",0.8971893787384033,2102.78,3274.0
33,"Make a single slightly challenging question about sides and vertices for a student learning basic mathematics in the context of a school library, about identifying a shape. Keep the question concise. Return one question only, written as plain text.","system
What is the difference between a side and a vertex in geometry?",0.43184471130371094,2102.79,3274.0
34,"Prepare a single easy question about rows and columns described with words for a young math learner in the context of a beach visit, using four equal groups. Make all needed information explicit. Return one question only, written as plain text.","system
How many cookies did each group receive if there were 12 cookies to be shared equally among 4 groups at the beach?",0.7609953880310059,2102.79,3274.0
35,"Create one easy question comparing two quantities for a young math learner in the context of a camping trip, with a short real-life situation. Avoid unnecessary details. Return one question only, written as plain text.","system
How many more calories does a campfire roast compared to a portable stove when both provide enough warmth and cooking?",0.6703536510467529,2102.79,3274.0
36,"Write one slightly challenging simple GCD word problem for a primary school student learning advanced topics in the context of a birthday party, using an equal-row situation. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","system
At Mrs. Johnson's birthday party, there were 24 cupcakes arranged equally on 3 plates. How many cupcakes did each plate have?",0.8430891036987305,2102.79,3274.0
37,"Make a single slightly challenging question about two repeating events for a young learner ready for a challenge in the context of a playground, with an LCM below 60. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
Two children, Alex and Jamie, love to play catch at recess. They start playing catch every day after lunch. If they have been playing catch together for 30 days now, what is the smallest number of days that will pass before they both play catch on the same day again?",1.5793721675872803,2118.86,3274.0
38,"Make one slightly challenging question about finding a total and then what remains for an upper elementary student in the context of a bus trip, with no negative answer. Make all needed information explicit. Output only the question in text form, without hints or an answer.","system
What is the total cost if each child on a 30-person school bus pays $2 towards a field trip fund, and how much money will be left after paying everyone?",1.0103850364685059,2118.89,3274.0
39,"Generate one slightly challenging addition question with three addends for a young math learner in the context of a community park, using three small whole numbers. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","system
What is the sum of 15, 20, and 30?",0.5539178848266602,2118.89,3274.0
40,"Create a single basic short multiplication fact problem for a primary school student in the context of a book fair, with a product below 100. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","system
**Problem:**
At the Book Fair, Sarah buys 4 books priced at $5 each. How much does she spend?",0.7611474990844727,2118.9,3274.0
41,"Create one basic subtraction word problem for an elementary student in the context of a school cafeteria, using two-digit numbers. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","system
At the school cafeteria, there were 45 apples and 23 oranges on display. How many fruits were there altogether?",0.7728095054626465,2118.91,3274.0
42,"Prepare one basic question using repeated addition for a primary school student in the context of a birthday party, without showing an array. Make all needed information explicit. Output only the question in text form, without hints or an answer.","system
How many pieces of cake will each child get if there are 24 cakes and 8 children at the birthday party?",0.7380714416503906,2118.92,3274.0
43,"Create a single moderate mixed-skills mathematics challenge for a young learner ready for a challenge in the context of a school library, combining geometry and arithmetic. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","system
In the shape of a book spine, there is a 12-inch piece of paper that needs to be folded into a square box with no waste material left over. What will be the length of each side of this square box?",1.306077241897583,2118.92,3274.0
44,"Prepare a single easy question about choosing the correct time for an upper elementary student in the context of a classroom, using whole hours. Use whole numbers only. Return only the question in plain text, with no answer or explanation.","system
When should the teacher announce the start of recess?",0.36857151985168457,2118.96,3274.0
45,"Generate a single slightly challenging elapsed-time word problem for a student learning basic mathematics in the context of a garden, using half hours. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
A gardener spent 15 minutes planting flowers and another 20 minutes watering plants. How many total half-hour intervals did the gardener spend on gardening tasks?",0.9628102779388428,2118.98,3274.0
46,"Generate a single easy logic-based elementary math question for an upper elementary student in the context of a community park, combining addition and multiplication. Use one direct question at the end. Return only the question in plain text, with no answer or explanation.","system
At the community park, there are 4 picnic tables. Each table can seat 6 people. If each person needs to bring 2 sandwiches, how many sandwiches do they need in total?",1.0769736766815186,2118.98,3274.0
47,"Write one basic question about the least common multiple for a young learner ready for a challenge in the context of a school library, using two repeating time intervals. Make all needed information explicit. Output only the question in text form, without hints or an answer.","system
What is the least common multiple (LCM) of 15 minutes and 20 minutes?",0.6284143924713135,2118.99,3274.0
48,"Prepare one easy question about making equal groups for an elementary student in the context of a sports day, using a simple sharing situation. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
How many ways can you share 12 water bottles equally among 4 teams?",0.5310623645782471,2118.99,3274.0
49,"Write one easy missing-number equation for a young learner ready for a challenge in the context of a garden, using numbers below 50. Keep the question concise. Return one question only, written as plain text.","system
What is the next number in this sequence: 12, 17, 22, __?",0.6753754615783691,2118.99,3274.0
