,prompt,response_4,tiempo_4,ram_mb_4,gpu_mb_4
0,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","system
A rectangular prism has dimensions 5 cm x 3 cm x 2 cm. What is its volume?",0.697413921,2118.56,3274
1,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
At the family picnic, there were 4 sandwiches and 6 cookies. If the number of sandwiches is to be increased by 2 while keeping the total food items constant, how many more cookies should be added?",1.232961178,2118.76,3274
2,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
Which group has more pets: Group A with 15 dogs and 20 cats, or Group B with 10 dogs and 30 cats?",0.960932732,2118.83,3274
3,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","system
What is the greatest common divisor (GCD) of 24 and 18?",0.603702307,2118.87,3274
4,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","system
A school cafeteria has 36 apples to be shared equally among 9 students. How many apples does each student get?",0.77624321,2118.9,3274
5,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","system
What is the greatest common factor (GCF) of 24 and 36?",0.615782022,2118.92,3274
6,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","system
How many different ways can you make groups with exactly 7 items from a total of 49 items at the beach?",0.764226437,2118.96,3274
7,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
What is the name of the shape that has four sides with two pairs of parallel lines?",0.59155035,2118.98,3274
8,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
At the beach, there were initially 23 seashells. After collecting more, they had 47 seashells. How many did they collect?",0.971917868,2119,3274
9,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","system
How many flowers did you pick from the garden today?",0.400641918,2119.02,3274
10,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","system
What is 5 times 6?",0.315137148,2119.02,3274
11,"Make a single easy addition question with three addends for a primary school student in the context of a toy store, using numbers up to 20. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","system
What is the total number of toys if there are 5 teddy bears, 7 dolls, and 3 cars?",0.760993481,2119.02,3274
12,"Create one slightly challenging question about the greatest common factor for an upper elementary student in the context of a music class, using numbers below 30. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","system
What is the greatest common factor of the beat lengths of two songs: 12 beats per measure and 18 beats per measure?",0.839423895,2119.03,3274
13,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
At the animal shelter, there are 3 cages arranged in a row. Each cage can hold 4 dogs. If 2 more dogs join the shelter, how many dogs will be in total?",1.148779392,2119.06,3274
14,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","system
What color is an apple and what does it taste like?",0.41037631,2119.09,3274
15,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","system
At the beach, Sarah found 23 seashells and 17 starfish. How many items did she find total? Then, if she gave away 8 items, how many does she have left?",1.231008053,2119.09,3274
16,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","system
What is 3:00 PM on a written clock?",0.445425987,2119.1,3274
17,"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
At the beach, there were 15 seashells on the first day. On the second day, 7 more seashells were found. How many seashells are there now?",1.138306141,2119.1,3274
18,"Create one basic question about an equivalent ratio for an upper elementary student in the context of a sports day, using two types of objects. Use whole numbers only. Return one question only, written as plain text.","system
What is the equivalent ratio if there are 3 gold medals and 6 silver medals at the sports day?",0.669395924,2119.1,3274
19,"Generate a single slightly challenging short multiplication fact problem for a student learning basic mathematics in the context of a farm, using four equal groups. Avoid unnecessary details. Return one question only, written as plain text.","system
A farmer has 4 equal-sized fields. Each field produces 5 apples. How many apples does the farmer have in total?",0.765931129,2119.1,3274
20,"Create a single moderate question about the least common multiple for a young learner ready for a challenge in the context of a beach visit, with an LCM below 60. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
What is the smallest number that can be formed using three different digits from 1 to 9 and has a least common multiple (LCM) less than 60?",1.011925459,2119.17,3274
21,"Write a single easy question comparing two quantities for an elementary student in the context of a science fair, with equal values as one possible result. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
Which is heavier: 1 kilogram or 100 grams?",0.496124029,2119.17,3274
22,"Write a single slightly challenging question about equal groups for a student learning basic mathematics in the context of a school cafeteria, using facts from 2 to 5. Make the situation realistic. Use plain text only and provide no solution or explanation.","system
At the school cafeteria, there are 4 tables with an equal number of students sitting at each table. If there are 60 students eating lunch, how many students are sitting at each table?",1.180078983,2119.18,3274
23,"Prepare a single basic question about sides and vertices for a young math learner in the context of a garden, using triangles and quadrilaterals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","system
What is the difference between a triangle and a quadrilateral?",0.413425684,2119.18,3274
24,"Generate a single simple greater-than or less-than question for a primary school student in the context of a fruit shop, using numbers up to 20. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","system
Which is more: 15 apples or 18 oranges?",0.471002102,2119.18,3274
25,"Make one basic question about choosing the correct time for an elementary student in the context of a sports day, using half hours. Use whole numbers only. Use plain text only and provide no solution or explanation.","system
What is the best time to start the relay race segment on the school's annual sports day?",0.590630531,2119.18,3274
26,"Create a single moderate question about taking away for an elementary student in the context of a birthday party, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","system
At the birthday party, there were 30 cupcakes on the table. If they ate 12 cupcakes during the first hour, how many cupcakes are left?",0.958693504,2119.18,3274
27,"Generate one slightly challenging challenging multi-step math word problem for a primary school student learning advanced topics in the context of a school cafeteria, without requiring a drawing. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","system
At the school cafeteria, there were 25 students who ordered sandwiches. If each sandwich costs $3 and the total cost was $75, how many more students could have been served with the remaining money if each new student wanted to order two sandwiches?",1.433911324,2119.19,3274
28,"Prepare one easy mixed-operation problem with addition and subtraction for an upper elementary student in the context of a community park, with no negative answer. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","system
At the community park, there are 15 swings and 8 slides. If 3 swings break down and need to be removed, how many swings and slides are left?",1.042642593,2119.2,3274
29,"Make one moderate logic-based elementary math question for a young learner ready for a challenge in the context of a sports day, combining time and addition. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","system
What is the total number of minutes if each athlete takes 5 minutes to complete their event and there are 8 athletes participating?",0.776613951,2119.2,3274
30,"Create a single moderate short multiplication fact problem for a primary school student in the context of a farm, using four equal groups. Make the situation realistic. Output only the question in text form, without hints or an answer.","system
A farmer has 4 equal-sized fields. Each field produces 5 apples. How many apples does the farmer have in total?",0.800930977,2119.21,3274
31,"Write a single simple subtraction question with a missing number for an upper elementary student in the context of a school cafeteria, with simple borrowing. Keep the question concise. Output only the question in text form, without hints or an answer.","system
What is 15 - __ = 9?",0.405874014,2119.21,3274
32,"Create one slightly challenging question about the greatest common divisor for a young learner ready for a challenge in the context of a birthday party, using numbers below 50. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
If Tommy and Lily are planning their birthday party and they want to divide all the cupcakes equally among themselves and their two friends without any leftovers, what is the largest number of cupcakes that can be evenly divided?",1.213107109,2119.22,3274
33,"Make a single slightly challenging question about sides and vertices for a student learning basic mathematics in the context of a school library, about identifying a shape. Keep the question concise. Return one question only, written as plain text.","system
What is the difference between a side and a vertex in a polygon?",0.489806652,2119.22,3274
34,"Prepare a single easy question about rows and columns described with words for a young math learner in the context of a beach visit, using four equal groups. Make all needed information explicit. Return one question only, written as plain text.","system
How many people were at each group if there were 24 people in total and they divided into 4 equal groups?",0.766389132,2119.22,3274
35,"Create one easy question comparing two quantities for a young math learner in the context of a camping trip, with a short real-life situation. Avoid unnecessary details. Return one question only, written as plain text.","system
How many more calories does a campfire roast compared to a grill when roasting 10 marshmallows each?",0.739476919,2119.23,3274
36,"Write one slightly challenging simple GCD word problem for a primary school student learning advanced topics in the context of a birthday party, using an equal-row situation. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","system
At Mrs. Johnson's birthday party, there are 12 cupcakes arranged equally on each of 4 plates. How many cupcakes are on each plate?",0.920136213,2119.23,3274
37,"Make a single slightly challenging question about two repeating events for a young learner ready for a challenge in the context of a playground, with an LCM below 60. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
Two friends, Alex and Jamie, decide to play catch every day at the park. They start on Monday. How many days will it be before they have played catch together again?",1.051210165,2119.23,3274
38,"Make one slightly challenging question about finding a total and then what remains for an upper elementary student in the context of a bus trip, with no negative answer. Make all needed information explicit. Output only the question in text form, without hints or an answer.","system
What is the final fare if each child on a 30-person school bus pays $2 towards the total cost when the remaining adults split the same amount equally?",0.969306469,2119.23,3274
39,"Generate one slightly challenging addition question with three addends for a young math learner in the context of a community park, using three small whole numbers. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","system
What is the sum of 15, 20, and 30?",0.573911667,2119.23,3274
40,"Create a single basic short multiplication fact problem for a primary school student in the context of a book fair, with a product below 100. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","system
24 x 5 = ?",0.286320448,2119.23,3274
41,"Create one basic subtraction word problem for an elementary student in the context of a school cafeteria, using two-digit numbers. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","system
At the school cafeteria, there were 56 apples available at lunchtime. If 27 apples were eaten during lunch, how many apples are left?",0.923083067,2119.24,3274
42,"Prepare one basic question using repeated addition for a primary school student in the context of a birthday party, without showing an array. Make all needed information explicit. Output only the question in text form, without hints or an answer.","system
How many cupcakes will there be if we add 5 cupcakes to the plate 4 times?",0.604206085,2119.24,3274
43,"Create a single moderate mixed-skills mathematics challenge for a young learner ready for a challenge in the context of a school library, combining geometry and arithmetic. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","system
In the shape of a triangular bookshelf, each side measures 10 inches. If you need to calculate how much space is available on one side for books, what would be the area? Remember, use your knowledge of geometry!",1.327841997,2119.24,3274
44,"Prepare a single easy question about choosing the correct time for an upper elementary student in the context of a classroom, using whole hours. Use whole numbers only. Return only the question in plain text, with no answer or explanation.","system
When should an upper elementary student begin their math class?",0.404629707,2119.24,3274
45,"Generate a single slightly challenging elapsed-time word problem for a student learning basic mathematics in the context of a garden, using half hours. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
A gardener plans to plant flowers every 30 minutes starting from 9:00 AM until noon. How many times will she plant flowers?",0.935421228,2119.24,3274
46,"Generate a single easy logic-based elementary math question for an upper elementary student in the context of a community park, combining addition and multiplication. Use one direct question at the end. Return only the question in plain text, with no answer or explanation.","system
At the community park, there are 4 picnic tables. Each table can seat 6 people. If each person needs 2 sandwiches to be fully fed, how many total sandwiches do you need to prepare?",1.240804911,2119.24,3274
47,"Write one basic question about the least common multiple for a young learner ready for a challenge in the context of a school library, using two repeating time intervals. Make all needed information explicit. Output only the question in text form, without hints or an answer.","system
What is the least common multiple (LCM) of 15 minutes and 20 minutes?",0.668497562,2119.24,3274
48,"Prepare one easy question about making equal groups for an elementary student in the context of a sports day, using a simple sharing situation. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
How many ways can you share 12 apples equally among 4 friends?",0.546209097,2119.24,3274
49,"Write one easy missing-number equation for a young learner ready for a challenge in the context of a garden, using numbers below 50. Keep the question concise. Return one question only, written as plain text.","system
What is the next number in this sequence: 12, 17, 22, __?",0.729994774,2119.24,3274
50,"Make a single slightly challenging question about two repeating events for a primary school student learning advanced topics in the context of a sports day, using a school schedule situation. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
What is the difference between running laps around the track and jumping over hurdles during a school sports day?",0.627413988,2119.24,3274
51,"Create a single easy question about finding a total and then what remains for a student learning basic mathematics in the context of a bus trip, with no negative answer. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","system
How do you calculate the remaining distance if you know the initial distance and the distance covered?",0.563824654,2119.24,3274
52,"Make a single slightly challenging question about hours and minutes for an elementary student in the context of a bus trip, using an afternoon activity. Use whole numbers only. Return only the question in plain text, with no answer or explanation.","system
What time will it be 30 minutes after lunchtime if lunch is at 1:45 PM?",0.69975853,2119.25,3274
53,"Create one simple simple LCM word problem for an upper elementary student in the context of a fruit shop, using two small multiples. Keep the question concise. Output only the question in text form, without hints or an answer.","system
A fruit shop sells apples and oranges. If 3 bags of apples cost as much as 2 bags of oranges, how many bags of oranges would it take to equal the cost of 15 bags of apples?",1.234056711,2119.25,3274
54,"Prepare a single basic short sum problem for a primary school student in the context of a book fair, using one missing addend. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","system
At the book fair, there were 25 books on display. If you bought 10 books, how many books were left?",0.820355415,2119.25,3274
55,"Create one basic short sum problem for a young math learner in the context of a school library, with no regrouping. Use whole numbers only. Use plain text only and provide no solution or explanation.","system
A bookshelf has 4 rows of books. Each row contains 12 books. How many books are there on the shelf?",0.797244549,2119.25,3274
