,prompt,response_2,tiempo_2,ram_mb_2,gpu_mb_2
0,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","system
What is the perimeter of a rectangle with length 10 cm and width 5 cm?",0.5831878185272217,2122.84,3274.0
1,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
At the family picnic, there were 4 sandwiches and 6 juice boxes. If we want to maintain the same ratio of sandwiches to juice boxes, how many more juice boxes should be added if we add 2 sandwiches?",1.301565408706665,2122.84,3274.0
2,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
Which group has more pets: Group A with 15 dogs and 20 cats, or Group B with 10 dogs and 30 cats?",0.9895749092102051,2122.84,3274.0
3,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","system
What is the greatest common divisor (GCD) of 24 and 18?",0.6111564636230469,2122.84,3274.0
4,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","system
At the school cafeteria, there are 45 apples available to be shared equally among 9 students. How many apples does each student get?",0.8669257164001465,2122.84,3274.0
5,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","system
What is the greatest common factor (GCF) of 24 and 36, which could be used to simplify fractions like \(\frac{24}{36}\)?",1.1182050704956055,2122.84,3274.0
6,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","system
How many different ways can you divide 45 sandcastles into equal groups if each group must have more than 1 but fewer than 20 castles?",0.9817996025085449,2122.84,3274.0
7,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
What is the name of the flat surface that makes up the sides of a rectangle?",0.5592830181121826,2122.84,3274.0
8,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
At the beach, there were initially 23 seashells collected. After finding more, they added 17 to their collection. Then, they gave away 9 seashells as souvenirs. How many seashells do they have now?",1.5082345008850098,2122.84,3274.0
9,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","system
How many flowers did you pick from the garden today?",0.38552165031433105,2122.84,3274.0
10,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","system
What is 5 times the number that is 3 less than 10?",0.5386085510253906,2122.84,3274.0
11,"Make a single easy addition question with three addends for a primary school student in the context of a toy store, using numbers up to 20. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","system
What is the total number of toys if there are 5 teddy bears, 7 dolls, and 3 cars?",0.7725512981414795,2122.84,3274.0
12,"Create one slightly challenging question about the greatest common factor for an upper elementary student in the context of a music class, using numbers below 30. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","system
What is the greatest common factor of the notes C, D, E, and F?",0.5573318004608154,2122.84,3274.0
13,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
At the animal shelter, there are 5 puppies waiting to be adopted. If each puppy needs 3 hours of care per day, how many total hours will all the puppies need together over 2 days?",1.1710479259490967,2122.84,3274.0
14,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","system
What color is the apple and what kind of fruit is it?",0.4308130741119385,2122.84,3274.0
15,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","user
At the beach, Sarah collected 24 seashells and 17 starfish. How many items did she collect total?",0.7906148433685303,2122.84,3274.0
16,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","system
What is 3:00 PM on a written clock?",0.43765878677368164,2122.84,3274.0
17,"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
At the beach, there were 15 seashells on the first day. On the second day, 7 more seashells were found. How many seashells are there now?",1.117093563079834,2122.84,3274.0
