,prompt,response_3,tiempo_3,ram_mb_3,gpu_mb_3
0,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the name of the shape with four right angles and four sides of equal length?",0.3421034812927246,2113.36,2694.0
1,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of sandwiches to the number of cookies at the picnic, if 3 sandwiches were eaten and 5 cookies were eaten?",0.531407356262207,2113.36,2694.0
2,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with children versus those that are adopted by families without children?",0.5466179847717285,2113.36,2694.0
3,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","assistant

What is the greatest common divisor of 12 and 18?",0.2677297592163086,2113.36,2694.0
4,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. If he wants to put 6 cookies in each box, how many boxes can he fill?""",0.7261495590209961,2113.36,2694.0
5,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A group of students are planning a school festival and need to decide on the size of the festival venue. The festival organizers want to ensure that the venue is large enough to accommodate all the students, but they also want to minimize the number of tents and stalls. The festival organizers have a limited budget, and they want to maximize the number of attendees. How can they decide on the optimal size of the festival venue?",1.2978742122650146,2113.36,2694.0
6,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

How many groups of 5 can be made from 20 students for a beach trip?",0.3422853946685791,2113.36,2694.0
7,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the name of the shape that has four right angles and four sides of equal length?",0.3568241596221924,2113.36,2694.0
8,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Here's a mixed-operation problem for an elementary student:

Tommy has 15 seashells in his bucket. He finds 7 more seashells on the beach. How many seashells does Tommy have now?

A) 12
B) 20
C) 22
D) 25",1.0175349712371826,2113.36,2694.0
9,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of flowers and 3 rows of vegetables?

A) 20
B) 25
C) 30
D) 35

Answer: B) 25",1.1650159358978271,2113.36,2694.0
10,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

Tommy has 15 boxes of crayons in his art box. He wants to put 3 boxes of crayons on each table for a party. How many tables can he set up?",0.6510312557220459,2113.36,2694.0
11,"Make a single easy addition question with three addends for a primary school student in the context of a toy store, using numbers up to 20. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","assistant

What is 5 + 8 + 12?",0.2386152744293213,2113.36,2694.0
12,"Create one slightly challenging question about the greatest common factor for an upper elementary student in the context of a music class, using numbers below 30. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","assistant

What is the greatest common factor of 12, 18, 24, and 30?",0.3705575466156006,2113.36,2694.0
13,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Tom has 5 boxes of cat food. Each box contains 8 bags of food. How many bags of food does Tom have in total?",0.5029211044311523,2113.36,2694.0
14,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is the process called when a customer pays for a fruit that has been damaged or spoiled?",0.35548973083496094,2113.36,2694.0
15,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","assistant

What is the total number of seashells found on the beach if 15 seashells are found on the left side of the beach and 12 seashells are found on the right side?",0.6792664527893066,2113.36,2694.0
16,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","assistant

What is the time on the clock in 3 o'clock?",0.2679743766784668,2113.36,2694.0
17,"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

Tom and Alex went to the beach and bought 5 bags of ice cream. They found 2 more bags on the beach. How many bags of ice cream did they have in total?",0.635941743850708,2113.36,2694.0
18,"Create one basic question about an equivalent ratio for an upper elementary student in the context of a sports day, using two types of objects. Use whole numbers only. Return one question only, written as plain text.","assistant

What is the ratio of the number of points scored by the basketball team to the number of points scored by the soccer team in a game?",0.4888591766357422,2113.36,2694.0
19,"Generate a single slightly challenging short multiplication fact problem for a student learning basic mathematics in the context of a farm, using four equal groups. Avoid unnecessary details. Return one question only, written as plain text.","assistant

A farmer has 4 baskets of apples, and each basket contains 6 apples. How many apples does the farmer have in total?",0.4743964672088623,2113.36,2694.0
20,"Create a single moderate question about the least common multiple for a young learner ready for a challenge in the context of a beach visit, with an LCM below 60. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the least common multiple of 18 and 24 that is less than 60?",0.3587613105773926,2113.36,2694.0
21,"Write a single easy question comparing two quantities for an elementary student in the context of a science fair, with equal values as one possible result. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

What is the difference between the volume of a cube and a sphere?",0.2851526737213135,2113.36,2694.0
22,"Write a single slightly challenging question about equal groups for a student learning basic mathematics in the context of a school cafeteria, using facts from 2 to 5. Make the situation realistic. Use plain text only and provide no solution or explanation.","assistant

A group of 15 students are seated in a cafeteria, and 8 of them are wearing uniforms. If 3 students are absent, the remaining 12 students are divided into 3 groups of 4. How many students are in the groups?",0.8271985054016113,2113.36,2694.0
23,"Prepare a single basic question about sides and vertices for a young math learner in the context of a garden, using triangles and quadrilaterals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

What is the name of the shape with four sides that has four right angles?",0.3138730525970459,2113.36,2694.0
24,"Generate a single simple greater-than or less-than question for a primary school student in the context of a fruit shop, using numbers up to 20. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","assistant

What is the largest number of apples that can be sold in a fruit shop?",0.3146638870239258,2113.36,2694.0
25,"Make one basic question about choosing the correct time for an elementary student in the context of a sports day, using half hours. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What time should the school start for a 1 hour sports day?",0.28382229804992676,2113.36,2694.0
26,"Create a single moderate question about taking away for an elementary student in the context of a birthday party, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

What is the sum of the numbers from 1 to 50?",0.28380346298217773,2113.36,2694.0
